objid,ra,dec,redshift,radius,magnitude,baryonic_density_proxy,Delta,KK_Mass_eV
1237648675069035049,243.95880535406,0.834842904544759,0.05615441,4.429742,17.02188,7.9157329657315225,0.632167313541972,1.8863806590330705e-21
1237648675068969138,243.828327515219,0.772318374708,0.08283905,7.589236,16.08913,6.367249730448531,0.5085021405060134,1.8752164065661022e-21
1237648675068773098,243.392509073505,0.756450994839365,0.08218662,6.406536,17.47286,2.4980979224326787,0.1995034268368737,1.8476085576728718e-21
1237648675068773069,243.379675383725,0.813519805611049,0.08204021,4.001787,17.70554,5.1674473677047885,0.4126833654512477,1.866611524882192e-21
1237648675068773033,243.367706318121,0.818553093016932,0.08187652,2.829294,17.23955,15.879025379376783,1.2681328260064348,1.9448528963268717e-21
1237648675068772936,243.323791283936,0.778364757223528,0.0738822,5.379291,17.69351,2.8916513121877983,0.23093343972562183,1.8503980386234234e-21
1237648675068642049,243.102759668243,0.827030547793542,0.08105326,3.163852,17.59441,9.15806413501608,0.7313825297722352,1.8953856523092885e-21
1237648675068641997,243.08575857351,0.804879166708207,0.05781441,7.347409,15.59682,10.690636626911877,0.8537770369144498,1.906553696012675e-21
1237648675068576216,242.869801927503,0.666949637160285,0.1164792,2.838489,17.75229,9.838062311143572,0.7856886340934578,1.9003327858634945e-21
1237648675068510546,242.673525827608,0.645629408188619,0.07331888,8.124478,16.36747,4.299530815790077,0.34336969893700214,1.8604115234174732e-21
1237648675068445600,242.594564246268,0.728287786857084,0.04164413,5.910091,17.33071,3.3460133094757403,0.2672197576755274,1.853623765316849e-21
1237648675068445173,242.568982923146,0.750119581867514,0.04427702,8.119463,16.26049,4.750610078943039,0.37939385073903903,1.8636312541913348e-21
1237648675068445157,242.556605313895,0.714710355620249,0.04190006,2.865144,17.14299,16.9243146773349,1.3516118582356742,1.9526615434837433e-21
1237648675068445149,242.556132053792,0.693409353017957,0.04277612,3.364134,17.56981,8.285704248923638,0.6617140091159328,1.8890579001947427e-21
1237648675068444804,242.544110845322,0.753474172342132,0.04257753,7.448746,17.17135,2.439459821490756,0.19482046306028644,1.8471932947169463e-21
1237648675068444796,242.536767974927,0.769702212434085,0.04191988,13.65532,14.9507,5.6119815713163215,0.44818481484212574,1.869795072505114e-21
1237648675068444794,242.550339164535,0.783708744210022,0.04329774,13.29219,14.1541,12.335788622249304,0.9851623832573662,1.918615363918637e-21
1237648675068379652,242.444787727104,0.686897562643608,0.04282607,7.946696,15.9621,6.528100039348728,0.5213479891595798,1.8763730229299764e-21
1237648675068379571,242.398935351216,0.665118570154414,0.1165818,6.626772,17.15136,3.1394382326159604,0.250722231552739,1.852156496433358e-21
